op_id,资料类型,标题,适用对象,关键词,操作内容,检核要点,解释说明,来源文件,备注,状态
OP-0001,调饮配方,生椰抹茶麻薯操作标准,生椰抹茶麻薯,生椰抹茶麻薯|抹茶液|米麻薯|青团|去冰|少冰,中杯冰用PET杯 大杯冰用大塑杯 热饮用纸杯；冰饮需先完成汤体和加料后补冰至冰线再加抹茶液；去冰时挡冰倒并补冰水至冰线后再做后续操作；热饮T1加热 另有T2温饮处理。,重点看米麻薯和青团是否先加料 抹茶液是否按中杯40cc大杯50cc执行 去冰少冰是否补足冰水 加料后杯型和吸管是否匹配。,用于回答生椰抹茶麻薯怎么做 去冰少冰怎么处理 抹茶液和额外加料怎么执行。,20260409_调饮配方汇总版简略版_全片区.pdf,单品拆分入库,启用
OP-0002,调饮配方,桂花酒酿小丸子操作标准,桂花酒酿小丸子,桂花酒酿小丸子|青团|桂花酒酿|桂花乌龙|去冰|热饮,冰饮需青团和桂花酒酿先加料后按摇杯流程制作；热饮使用纸杯并按T1加热后补热水或冰水至满杯线；去冰需挡冰倒后补冰水并挑搅。,重点看桂花酒酿与青团份量 是否先加料 冰热杯型是否正确 去冰是否补足冰水。,适合回答桂花酒酿小丸子做法和不同温度处理方式。,20260409_调饮配方汇总版简略版_全片区.pdf,单品拆分入库,启用
OP-0003,调饮配方,黑糖珍珠牛乳操作标准,黑糖珍珠牛乳,黑糖珍珠牛乳|黑糖珍珠|芝士乳|黑糖液|牛奶|去冰,黑糖珍珠和芝士乳先入杯 再按标准加入黑糖液和牛奶；冰饮需加冰搅拌后直接倒并挑搅 热饮走T1加热并补热水或冰水至满杯线 去冰挡冰倒后补冰水。,重点看黑糖珍珠与芝士乳份量 黑糖液是否见杯贴执行 去冰少冰补水是否正确。,适合回答黑糖珍珠牛乳配方和去冰热饮处理。,20260409_调饮配方汇总版简略版_全片区.pdf,单品拆分入库,启用
OP-0004,调饮配方,龙井香青团操作标准,龙井香青团,龙井香青团|青团|龙井|冰勃朗|牛奶|去冰,冰饮中杯G5 大杯G7 并配冰勃朗和牛奶；青团先加料 冰饮需加冰搅拌后直接倒并挑搅 热饮走T1加热 去冰挡冰倒后补冰水。,重点看青团是否先加料 龙井和牛奶数据是否对应杯型 冰热盖杯与吸管是否正确。,适合回答龙井香青团出杯步骤和冰热处理。,20260409_调饮配方汇总版简略版_全片区.pdf,单品拆分入库,启用
OP-0005,调饮配方,青橘柠檬水操作标准,青橘柠檬水,青橘柠檬水|青橘|香水柠檬|柠檬预混液|手捣|西柚粒,中杯与大杯都要先放青橘和香水柠檬块并手捣3下出汁；中杯PET杯用柠檬预混液加至D线后补冰水 大杯摇杯版本需直接倒后加冰 大PET杯版本需加冰至满杯线。,重点看青橘和柠檬块数量 手捣动作是否执行 是否只允许额外加1份西柚粒 额外加料后吸管是否改大吸管。,适合回答青橘柠檬水怎么做以及加西柚粒操作。,20260409_调饮配方汇总版简略版_全片区.pdf,单品拆分入库,启用
OP-0006,调饮配方,杨枝甘露轻盈版操作标准,杨枝甘露轻盈版,杨枝甘露|杨枝甘露轻盈版|西米|芒果丁|多肉|西柚粒,中杯与大杯需按西米 芒果丁 多肉 西柚粒先加料；冰饮按G2 芒果浆 椰浆 奶露和冰水执行并补冰至满杯线 温饮补热水至满杯线；少冰需额外补冰水。,重点看加料份数是否正确 是否先加料 少冰和温饮是否按标准补水 盖型和吸管是否匹配。,适合回答杨枝甘露轻盈版配方 换料 少料和出杯配备。,20260409_调饮配方汇总版简略版_全片区.pdf,单品拆分入库,启用
OP-0007,调饮配方,苦尽柑来拿铁操作标准,苦尽柑来拿铁,苦尽柑来拿铁|橙子预调奶|可可粉|干橙片|维也纳云顶,冰饮需先搅拌后加冰至冰线再按精萃浓缩A键 最后加维也纳云顶 撒可可粉 加干橙片1片；热饮接咖啡液同时加热茶汤并完成顶部装饰；少冰把橙子预调奶加至D线。,重点看咖啡机按键 顶部是否加维也纳云顶和可可粉 干橙片是否不少于半圆形1片 少冰是否改D线。,适合回答苦尽柑来拿铁怎么做以及顶部装饰要求。,20260409_调饮配方汇总版简略版_全片区.pdf,单品拆分入库,启用
OP-0008,调饮配方,双重芝士抹茶操作标准,双重芝士抹茶,双重芝士抹茶|抹茶液|维也纳云顶|芝士乳|牛奶,冰饮PET杯需先搅拌后加冰至少B 再加抹茶液40和维也纳云顶；热饮T1加热后直接倒 再加抹茶液和维也纳云顶；若额外加料则吸管须改为大吸管。,重点看抹茶液固定40cc 维也纳云顶是否到位 热饮是否先舀去一勺茶汤再挑搅 额外加料后吸管是否调整。,适合回答双重芝士抹茶冰热做法和加料限制。,20260409_调饮配方汇总版简略版_全片区.pdf,单品拆分入库,启用
OP-0009,调饮配方,云岭茉莉操作标准,云岭茉莉,云岭茉莉|奶芙|维也纳云顶|少冰|热饮,少冰版中杯G7 大杯G10 并配茉香 牛奶 冰勃朗；少冰需加冰至A或B后奶昔机搅打并补冰；热饮按T1加热 还可做奶芙版或维也纳云顶版两种顶部操作。,重点看少冰是否用奶昔机 搭配顶部版本是否正确 堂食与外卖的顶部出品方式是否区分。,适合回答云岭茉莉少冰 热饮 奶芙版和维也纳云顶版怎么做。,20260409_调饮配方汇总版简略版_全片区.pdf,单品拆分入库,启用
OP-0010,后厨配方,山岚红茶手泡标准,山岚红茶,山岚红茶|手泡|挤压茶包|前冰|后冰|透气盖,山岚红茶手泡需倒茶叶后称沸水 定时透气盖6分钟 中间挑搅 时间过半称后冰 到时再次挑搅 并挤压茶包后在10秒内过滤至后冰桶 再搅拌至冰化并按风味贴保存。,重点看是否使用打蛋器或吧勺挤压茶包 接取桶内是否有冰块 是否在10秒内过滤至后冰桶。,适合回答山岚红茶手泡流程和为什么必须挤压茶包 接取桶为什么要有冰。,W_后厨数据配方贴纸_20260409V1_21X29.7cm(7).pdf,流程拆分入库,启用
OP-0011,后厨配方,茉香绿茶手泡标准,茉香绿茶,茉香绿茶|手泡|前冰|后冰|透气盖|滤布,茉香绿茶手泡需先称前冰 再倒茶叶和沸水 透气盖9分钟 中间挑搅 时间过半称后冰 到时再次挑搅 10秒内过滤至后冰桶并搅拌至冰化后按风味贴保存。,重点看前冰后冰数据是否正确 是否用茶叶专用滤布 是否及时过滤和搅拌至冰化。,适合回答茉香绿茶手泡时间和过滤要求。,W_后厨数据配方贴纸_20260409V1_21X29.7cm(7).pdf,流程拆分入库,启用
OP-0012,后厨配方,桂花乌龙手泡标准,桂花乌龙,桂花乌龙|手泡|透气盖10分钟|后冰,桂花乌龙手泡需要称沸水后直接冲茶 定时透气盖10分钟 时间过半称后冰 到时挑搅后10秒内过滤至后冰桶并搅拌至冰化 最后按风味贴保存。,重点看透气盖时间是否足10分钟 是否及时过滤至后冰桶 是否按份数和器具执行。,适合回答桂花乌龙手泡时间和后冰处理。,W_后厨数据配方贴纸_20260409V1_21X29.7cm(7).pdf,流程拆分入库,启用
OP-0013,后厨配方,西米煮制标准,西米,西米|煮制|焖盖6分钟|搅拌|加冰|小料蜜制液,西米需先量热水煮至沸腾后倒西米 搅拌至再次沸腾 调火后闷盖定时煮制12分钟 时间到关火焖制6分钟 其间每2到3分钟搅拌 完成后10秒内倒入漏盆 冲凉后倒入份数盘并用小料蜜制液没过。,重点看是否按时搅拌 煮制和焖制时间是否到位 是否在10秒内倒入漏盆 冲凉后是否立即加蜜制液。,适合回答西米怎么煮 焖盖多久 何时加冰和蜜制液。,W_后厨数据配方贴纸_20260409V1_21X29.7cm(7).pdf,流程拆分入库,启用
OP-0014,后厨配方,青团煮制标准,青团,青团|煮制|40秒|60秒|漂浮|小料蜜制液,青团需先量热水煮至沸腾后倒青色小圆子 全部漂浮后开始计时 含0到500g为40秒 含500到1000g为60秒 时间到10秒内倒入漏盆 冲凉后倒入份数盘并加小料蜜制液没过。,重点看青团是否煮到全部漂浮 计时时间是否按克重区分 是否10秒内出锅并完成冲凉和蜜制液保存。,适合回答青团怎么煮 不同克数煮多久。,W_后厨数据配方贴纸_20260409V1_21X29.7cm(7).pdf,流程拆分入库,启用
OP-0015,后厨配方,奶露调制标准,奶露,奶露|奶C|赤砂糖|过滤网|冰块|风味贴,奶露需先称奶C和赤砂糖 再称热水并边倒边搅 接着定时搅拌1分钟以上 再称冰块让奶露溶液直接倒入冰块桶搅拌 最后通过过滤网过滤至空量桶并打风味贴。,重点看是否边倒边搅 是否搅拌满1分钟 是否过滤后再保存 奶露溶液不可漏过滤步骤。,适合回答奶露怎么调制 为什么要过滤和何时打风味贴。,W_后厨数据配方贴纸_20260409V1_21X29.7cm(7).pdf,流程拆分入库,启用
OP-0016,后厨配方,奶芙打制标准,奶芙,奶芙|奶油|奶盖机|裱花袋|封口冷藏,奶芙需冰浴淡奶油和奶盖锅后称香草糖浆与淡奶油 使用奶盖机6档打制至明显纹路后再继续打制 之后装裱花嘴和裱花袋 打入奶盖碗并封口冷藏静置至少2小时。,重点看奶盖机档位和时间 是否达到明显纹路 奶盖碗是否封口冷藏静置 不少于40g。,适合回答奶芙怎么打制 何时装裱花袋 需要静置多久。,W_后厨数据配方贴纸_20260409V1_21X29.7cm(7).pdf,流程拆分入库,启用
